EmbryoNr;Measure;T-8;T-7;T-6;T-5;T-4;T-3;T-2;T-1;T0;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;T12;T13;T14;T15;T16;T17;T18;T19;T20;T21;T22;T23
Emb13;Med5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2.2;2.29;2.62;2.52;2.54;2.23;2.07;2.11;1.99;1.8;1.59;1.41;1.29;1.27;1.14;1.2;NA;NA;NA;NA;NA;NA
Emb1;Med6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb2;Med6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.39;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb3;Med6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.68;0.67;0.75;0.67;0.68;0.87;0.84;0.88;0.97;1.11;1.19;1.2;1.45
Emb4;Med6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.37;0.44;0.6;0.62;0.64;0.63;0.76;0.77;0.73;NA;NA;NA;NA;NA
Emb5;Med6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3;0.32;0.46;0.48;0.52;0.59;0.6;0.62;0.75;1.05;1.07;1.16;NA;NA;NA;NA
Emb6;Med6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb7;Med6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.42;0.53;0.75;0.71;0.63;0.58;0.83;1.09;1.08;1.19;1.37;1.42;1.41;NA
Emb8;Med6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.5;0.53;0.57;0.85;0.64;1.07;1;0.92;1.14;1.39;1.37;1.37;1.45;1.06;NA
Emb9;Med6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.58;0.65;0.82;0.82;1.24;1.25;1.2;NA;NA;NA;NA;NA;NA;NA;NA
Emb10;Med6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.63;0.64;0.84;0.82;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb11;Med6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.57;0.67;0.8;0.76;0.7;0.85;0.83;0.92;0.91;0.99;1.04;1.19;1.12;NA;NA
Emb12;Med6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.341;0.63;0.63;0.74;0.84;0.81;0.88;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb13;Med6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.49;0.74;0.91;1.03;1.08;1.14;1.27;1.25;NA;NA;NA;NA;NA;NA
Emb1;Med7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb2;Med7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.18;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb3;Med7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.98;1.92;1.96;2;2.05;2.01;2.05;2.07;2.05;2.07;2.09;2.06
Emb4;Med7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.8;1.85;1.9;1.93;1.87;1.85;1.82;1.79;NA;NA;NA;NA;NA
Emb5;Med7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.58;1.6;1.67;1.7;1.74;1.77;1.79;1.84;1.85;1.86;1.9;NA;NA;NA;NA
Emb6;Med7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb7;Med7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.79;1.88;1.94;2.01;2.03;2.05;2.07;2.09;2.13;2.16;2.21;2.25;NA
Emb8;Med7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.94;2;2.05;2.09;2.1;2.15;2.17;2.16;2.18;2.22;2.25;2.26;2.28;NA
Emb9;Med7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.73;1.75;1.8;1.87;1.92;NA;NA;NA;NA;NA;NA;NA;NA
Emb10;Med7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.69;1.75;1.79;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb11;Med7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.92;1.77;1.77;1.78;1.77;1.76;1.76;1.78;1.81;1.79;1.78;1.77;NA;NA
Emb12;Med7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.726;1.788;1.854;1.897;1.935;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb13;Med7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1.87;1.94;1.98;2.01;2.04;2.08;2.11;NA;NA;NA;NA;NA;NA
Emb1;Med8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb2;Med8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.28;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb3;Med8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.12;0.27;0.42;0.54;0.7;0.72;0.86;1.02;1.15;1.16;1.28;1.33;1.27
Emb4;Med8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.11;0.25;0.27;0.41;0.57;0.73;0.72;0.85;0.97;NA;NA;NA;NA;NA
Emb5;Med8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.12;0.19;0.2;0.36;0.48;0.62;0.61;0.78;0.89;0.91;1.04;1.18;NA;NA;NA;NA
Emb6;Med8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb7;Med8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.09;0.23;0.24;0.38;0.56;0.72;0.85;0.88;1.01;1.03;1.19;1.33;1.48;NA
Emb8;Med8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.12;0.24;0.43;0.46;0.64;0.65;0.83;1;1.01;1.19;1.35;1.52;1.57;1.73;NA
Emb9;Med8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.12;0.11;0.28;0.41;0.42;0.6;0.78;NA;NA;NA;NA;NA;NA;NA;NA
Emb10;Med8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.11;0.24;0.37;0.51;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb11;Med8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.13;0.23;0.28;0.41;0.57;0.57;0.71;0.71;0.85;0.87;1.04;1.05;1.16;NA;NA
Emb12;Med8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.104;0.123;0.242;0.27;0.436;0.616;0.607;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb13;Med8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.13;0.28;0.43;0.45;0.6;0.76;0.77;0.94;NA;NA;NA;NA;NA;NA
Emb1;Med9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb2;Med9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.06;0.16;0.23;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb3;Med9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;0.28;0.39;0.44;0.54;0.74;0.84;1;1.15;1.2;1.31;1.43;1.49;1.56;1.62;1.66
Emb4;Med9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.12;0.29;0.35;0.49;0.6;0.79;0.92;0.99;1.07;1.14;1.21;NA;NA;NA;NA;NA
Emb5;Med9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.2;0.3;0.4;0.52;0.67;0.81;0.92;1.03;1.14;1.22;1.34;1.41;1.52;NA;NA;NA;NA
Emb6;Med9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb7;Med9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.17;0.27;0.46;0.58;0.74;0.92;1.08;1.19;1.35;1.47;1.56;1.68;1.78;1.83;NA
Emb8;Med9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.17;0.26;0.38;0.5;0.67;0.81;0.95;1.09;1.22;1.3;1.41;1.51;1.6;1.68;1.75;1.8;NA
Emb9;Med9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.07;0.07;0.19;0.28;0.39;0.51;0.62;0.73;0.85;0.98;1.07;NA;NA;NA;NA;NA;NA;NA;NA
Emb10;Med9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.1;0.17;0.25;0.3;0.47;0.61;0.75;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb11;Med9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.07;0.15;0.27;0.36;0.49;0.56;0.64;0.72;0.79;0.87;0.94;0.99;1.04;1.1;1.15;1.18;1.21;NA;NA
Emb12;Med9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.071;0.156;0.285;0.398;0.507;0.65;0.801;0.906;1.02;NA;NA;NA;NA;NA;NA;NA;NA;NA
Emb13;Med9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.07;0.18;0.28;0.39;0.55;0.69;0.82;0.96;1.09;1.19;1.29;NA;NA;NA;NA;NA;NA
